haltestellen_id,belastung_x,linien_id,linienname,plan_fahrt_id,belastung_y,einsteiger,aussteiger,besetzung,traffic_total,anzahl_messungen,haltestellenlangname,distanz_m,halt_lin_kurz,halt_lin_lang,zonen,vsys,linienname_fahrgastauskunft,koord_wgs84_n,koord_wgs84_e,Quartier
97,2.1163118267061676,17,2,480,0.429960727923223,9.905434612045578,9.639754492674989,41.27622988062941,19.545189104720563,13390,"Zürich, Albisriederplatz",449.7590884427564,97-2,"Zürich, Albisriederplatz Linie 2",110.0,T,2,8.510396300947964,47.37821447654032,Bullingerhof
166,2.170415813325722,13,7,5224,0.3814670175438597,9.407786315789474,9.61105022417154,38.52816877192983,19.01883653996101,8639,"Zürich, Paradeplatz",380.6695906432748,166-7,"Zürich, Paradeplatz Linie 7",110.0,T,7,8.538904994765721,47.36973389876288,Paradeplatz
94,2.341648692870037,6,46,46182,0.2098498863636363,2.290358695054945,9.425994615384615,9.233395,11.71635331043956,11009,"Zürich, Central",188.46153846153845,94-46,"Zürich, Central Linie 46",110.0,TR,46,8.543964002903373,47.37680975491613,Central
442,0.453125,36,315,56460,0.453125,10.875,9.320175,14.5,20.195175,65,"Spreitenbach, Glattler",3273.75,442-315,"Spreitenbach, Glattler Linie 315",184.0,BL,315,8.36300403128161,47.420818937730985,Keine Zone
129,1.2193017069121321,31,10,16616,0.0,0.0,9.201245100401604,,9.201245100401604,1395,"Zürich, Bahnhofplatz/HB",0.0,129-10,"Zürich, Bahnhofplatz/HB Linie 10",110.0,T,10,8.539298519856215,47.37725008902943,Bahnhofplatz
129,1.2193017069121321,8,31,106344,0.3365670188022284,9.177913528319406,9.09981795264624,20.194021128133706,18.277731480965645,18043,"Zürich, Bahnhofplatz/HB",325.0,129-31,"Zürich, Bahnhofplatz/HB Linie 31",110.0,TR,31,8.539298519856215,47.37725008902943,Bahnhofplatz
95,1.6517222070703645,27,14,81749,0.2861258455386069,9.116147807775375,9.032158450323974,27.468081171706263,18.148306258099357,24673,"Zürich, Bahnhofquai/HB",278.5577753779698,95-14,"Zürich, Bahnhofquai/HB Linie 14",110.0,T,14,8.541687102809018,47.37748816440156,Bahnhofplatz
160,1.9097201372576462,9,11,88877,0.2794442241231926,9.19878726260258,8.98187399179367,26.826645515826492,18.18066125439625,23867,"Zürich, Bucheggplatz",453.0,160-11,"Zürich, Bucheggplatz Linie 11",110.0,T,11,8.533283247999078,47.39837375686216,Radio-Studio
95,1.6517222070703645,9,11,86619,0.2674578222350897,8.341440109510087,8.932465273775216,24.07120400115808,17.273905383285303,24202,"Zürich, Bahnhofquai/HB",301.4616714697406,95-11,"Zürich, Bahnhofquai/HB Linie 11",110.0,T,11,8.541687102809018,47.37748816440156,Bahnhofplatz
211,1.4844430486800801,30,32,17983,0.4872380867901234,10.51626065925926,8.816119481481481,29.234285207407407,19.33238014074074,17328,"Zürich, Limmatplatz",398.2022222222223,211-32,"Zürich, Limmatplatz Linie 32",110.0,TR,32,8.531622912898953,47.384600012653074,Berufsschulen
164,1.1601410208284593,31,10,88746,0.2244208368337849,13.440340030487803,8.715539949186992,20.197875315040648,22.1558799796748,9156,"Zürich, Bahnhofstrasse/HB",377.7967479674797,164-10,"Zürich, Bahnhofstrasse/HB Linie 10",110.0,T,10,8.539449463866212,47.37622320537186,Schipfe
173,0.4553617079047386,42,418,35665,0.3158601949407034,7.279538986486487,8.676328243243244,55.90725450450451,15.95586722972973,9011,"Zürich, Balgrist",1133.0,173-S18,"Zürich, Balgrist Linie S18",110.0,FB,S18,8.57500784293179,47.35461415739722,Rehalp
690,0.5827007404876412,84,80,76687,0.4132306676190476,9.951655986238531,8.675336737385322,19.835072045714288,18.626992723623854,21119,"Zürich, Bahnhof Oerlikon Nord",255.87729357798165,690-80,"Zürich, Bahnhof Oerlikon Nord Linie 80",110.0,B,80,8.54393408175367,47.41240362022607,Neu-Oerlikon
312,1.235683994511886,17,2,480,0.2874092029254362,8.328084436049648,8.601739266055045,27.59128348084188,16.929823702104695,13528,"Zürich, Lindenplatz",300.50836481381543,312-2,"Zürich, Lindenplatz Linie 2",110.0,T,2,8.486112591261845,47.38781903544009,Bachmattstrasse
166,2.170415813325722,17,2,71915,0.3275301107403288,7.681660500556173,8.443978559510567,29.47770996662959,16.125639060066742,13106,"Zürich, Paradeplatz",321.0,166-2,"Zürich, Paradeplatz Linie 2",110.0,T,2,8.538904994765721,47.36973389876288,Paradeplatz
168,2.0392224356226074,54,165,22593,0.3380893164600551,8.114143595041321,8.235400330578512,16.228287190082643,16.349543925619834,3463,"Zürich, Bürkliplatz",359.5,168-165,"Zürich, Bürkliplatz Linie 165",110.0,BZ,165,8.540772112735793,47.366540805683535,Stadthaus
