pers_n,koord_wgs84_e,koord_wgs84_n
43,47.39912006475667,8.394395401185996
122,47.401818120103705,8.394443798995539
15,47.39729942403158,8.397012185372182
94,47.40450521133907,8.395816904331245
196,47.40630391172457,8.395849220311508
149,47.40448324212841,8.398466307895978
36,47.409890331306144,8.397238695184974
8,47.418883805647276,8.39740055374414
0,47.41979413178621,8.396091660023961
4,47.41977215632864,8.398741824664993
39,47.42876560025937,8.398903967563424
81,47.39726640625491,8.400985751246505
131,47.39997548204598,8.399709892845296
66,47.424246843458064,8.401473275610652
13,47.453925052875775,8.402010125690463
24,47.39185925594952,8.402212692495517
21,47.39273649256293,8.404877770747282
0,47.3972553699435,8.402310272104616
45,47.399953423509665,8.40235906935075
159,47.40714822178248,8.402489219602472
214,47.40892479577725,8.405171384540663
5,47.41163390790328,8.403895459791093
104,47.42333645763719,8.4027821867713
34,47.422426056724944,8.40409105314403
51,47.42331432870618,8.405432525042363
4,47.44580891662339,8.404515111957593
45,47.44579783992555,8.405840840901886
0,47.405294105960984,8.409080281624774
76,47.421504553827255,8.406724998249532
83,47.44577564091001,8.408492297126173
105,47.42057185830453,8.410683951584167
138,47.42147120194377,8.410700365477382
44,47.42237054532269,8.41071677992728
35,47.42595676760397,8.412107676561916
24,47.426856109491304,8.412124116192121
34,47.39084871701999,8.415440043453282
87,47.397144171220646,8.41555545024126
131,47.39894287013438,8.415588428638353
85,47.413332424596106,8.415852336319613
113,47.41423176956306,8.415868835303447
23,47.42234823436192,8.413367066748881
54,47.421437713262875,8.41467572769508
22,47.42232586260139,8.416017351337546
22,47.38993816347204,8.416747894807894
55,47.390826297585306,8.418088759233543
4,47.391725648571,8.41810528897477
92,47.396222399698374,8.418187946084029
130,47.39712174916209,8.418204479186729
84,47.3980098643651,8.419545548854288
156,47.41061196046269,8.418452542988573
118,47.41152252745661,8.417144212825628
49,47.41960540249148,8.41861798895566
5,47.35123214331323,8.420008751465941
82,47.380910944035286,8.420555190615984
89,47.379989053963634,8.423186797493566
59,47.38269838935235,8.42191248243641
107,47.386295798603776,8.4219788529315
41,47.39169190492243,8.42207842554204
0,47.39437867583661,8.423452664275782
0,47.40067411502881,8.423569026330249
0,47.44743983797491,8.424434295361818
33,47.381776468839924,8.424544154138793
119,47.38446321864189,8.42591826133282
7,47.39256868299173,8.42474382258058
27,47.395255421440076,8.426118218456656
5,47.402450203006794,8.426251568389798
13,47.41953774340922,8.426568419461423
0,47.44023385388919,8.425626663770391
29,47.45372386284385,8.425876812792696
0,47.36644213255047,8.429556428560527
132,47.38265319269984,8.427209095459213
85,47.38355254463417,8.427225776678357
82,47.38445189631733,8.427242458462668
35,47.384429206100734,8.429890851025991
31,47.38622790795412,8.429924305736073
28,47.3889486509579,8.427325875863001
26,47.39164670071413,8.427375933087387
129,47.395244096843946,8.427442683969959
0,47.40152818916672,8.428884141346256
13,47.42040304975649,8.43056037628671
9,47.44829385913208,8.429754097865038
4,47.355638479071295,8.430679364061374
43,47.38441783820879,8.431215046457947
17,47.38891459000268,8.431298799296822
211,47.397908074624624,8.43146634755201
24,47.420391674258646,8.431885466750897
75,47.439254967797226,8.434888921562413
0,47.450046966986335,8.435090906369647
95,47.35199544541672,8.435906002653587
51,47.351084649396796,8.437212550631445
105,47.35290622639509,8.43459941000923
32,47.354704944070136,8.43463300376567
115,47.35379416319777,8.43593963994085
49,47.357403018751064,8.434683398665372
16,47.359201733981365,8.434716998108922
0,47.35739159583092,8.436006921348248
15,47.3861823437286,8.435221262946785
27,47.39067909014234,8.4353053569214
29,47.39426505197122,8.43669708152955
232,47.39606374635622,8.436730772408927
125,47.39515295315754,8.438038387651046
30,47.39876178602586,8.436781313010124
23,47.423044039078064,8.437236409799764
69,47.43743343289008,8.43750629349065
83,47.44281798187967,8.43893318527075
63,47.4536328633389,8.436484170659385
139,47.454509291261246,8.439152909742905
4,47.349274478976454,8.438502192630619
68,47.35107319745311,8.43853591582889
25,47.35826806161075,8.438670831456516
26,47.39243197431944,8.440636572804095
132,47.396040838514736,8.43937973851165
100,47.40142543540052,8.440805709752745
103,47.40322412455608,8.440839544022388
10,47.413128376910215,8.43970076615156
11,47.41311689655412,8.441025673516503
0,47.4275178106077,8.439971265672451
12,47.436511172661234,8.440140402435285
29,47.43739902187422,8.441482831295732
48,47.45269915762013,8.440444993267807
80,47.453598487581736,8.440461920437222
21,47.33576111665075,8.440895310992136
36,47.336660479246845,8.440912208388266
34,47.337536837222764,8.443575162948859
45,47.338459203719545,8.440946004895887
40,47.33935856559574,8.440962904007447
12,47.33934707060947,8.442285977233608
0,47.340257927231434,8.440979803690889
40,47.34924003321849,8.442472150805422
76,47.35284896476362,8.441216459324705
75,47.35553553959724,8.442590660992666
64,47.3564348966755,8.442607593312077
80,47.35642338285934,8.44393109022928
125,47.396017869903986,8.442028702324547
4,47.39689418618311,8.44469464436138
14,47.39779353158761,8.444711625456737
378,47.4014024340978,8.4434549408883
70,47.404088942273056,8.444830509241678
18,47.408597181489625,8.443590649776237
98,47.41128368195819,8.444966410972562
153,47.414892571946666,8.443709425250544
101,47.440085522653014,8.44285923112833
94,47.37619763883086,8.445628225881018
16,47.404077403058366,8.446155190499194
93,47.406763876800966,8.447530964278346
36,47.407651648626846,8.44887276608312
73,47.411272141199625,8.446291271269988
61,47.413070823158385,8.446325297230189
80,47.41124901409276,8.448940990133629
51,47.41304769527792,8.448975105628756
29,47.415757287235365,8.447701312142245
0,47.45441707352287,8.44976040111736
0,47.34108808875341,8.448935402576916
14,47.35637717578396,8.449225072150309
113,47.3707552473637,8.450821706197301
62,47.37346489521294,8.449549017854185
39,47.39503765626332,8.451282965756937
165,47.39684794434301,8.449992649965264
58,47.4058413791639,8.45016338180802
0,47.4103380869584,8.450248769435737
161,47.4112374277445,8.450265848698322
40,47.41303610854209,8.450300008960816
85,47.41393544855316,8.450317089960784
53,47.41573412779878,8.450351253698344
13,47.41663346703285,8.450368336436002
10,47.45529319468491,8.452429398274225
14,47.355454625433424,8.451854970977577
24,47.37251907984042,8.454827544299048
15,47.37434104401516,8.452213954673308
33,47.37431778089407,8.45486183362681
9,47.39500277095143,8.455256327927877
81,47.41211354959802,8.452932688697858
28,47.41478828783645,8.455633958149903
7,47.43907034151541,8.456097798627686
28,47.35991649349044,8.455911165101407
43,47.35990482708424,8.457234745596468
49,47.35989314549615,8.458558325509811
31,47.37340677634681,8.456168604927285
112,47.39768914387153,8.45663232638246
83,47.39766577948172,8.459281364645891
13,47.401274840578374,8.458025670863504
8,47.40577154895453,8.458111715309617
55,47.407558538567095,8.459470902142348
93,47.4102682509099,8.458197774341812
83,47.40935721870111,8.459505371099526
29,47.4102565583817,8.459522606454602
128,47.41116759052804,8.458214987898952
68,47.41295457587474,8.459574316026197
50,47.413865607832655,8.458266632072393
12,47.41475325291084,8.459608791996239
16,47.42916600981912,8.457234078767746
30,47.42914263174845,8.459884683953378
0,47.44983894696976,8.458955723435462
7,47.45613423769044,8.459076410612692
13,47.35358596853682,8.45976134192219
0,47.35626059542402,8.462459986453798
0,47.35807102976446,8.461170989447176
46,47.35897038339188,8.461188236225771
71,47.363478860578795,8.459950810767277
21,47.363455419926154,8.462598146406021
30,47.365265851900965,8.461308980028502
32,47.36616520355917,8.461326231479667
0,47.37066195813878,8.46141249749952
12,47.40753510909759,8.462120430329625
76,47.40933378844798,8.462154988808233
21,47.412931144054156,8.462224112795994
20,47.41291940534842,8.46354901030228
11,47.431817192771085,8.462587167605125
118,47.436313854002144,8.462673647350492
138,47.43810077244019,8.46403376791535
84,47.447094067769065,8.46420700725954
164,47.45160245258841,8.462967788256417
37,47.36074562006829,8.463869931956937
44,47.40839919014213,8.466112064301308
147,47.42908392054515,8.466511186665153
39,47.431781918674154,8.466563269061492
19,47.43539101984855,8.465307264332433
34,47.44528364984841,8.46549805792552
15,47.44978028920301,8.465584805832881
26,47.4524782696054,8.465636861643961
8,47.453377595869846,8.465654214758974
6,47.454265143704646,8.466997495264263
10,47.33371783353054,8.46864312209677
24,47.34361076922424,8.46883416866373
26,47.35891159688475,8.46780600949424
10,47.3580004415903,8.469112181580062
70,47.3652188475613,8.466603825370518
40,47.39488549910609,8.468500830583816
7,47.408363794622126,8.470086414033712
10,47.41018608409273,8.467471586832966
133,47.429959662231326,8.469179188638895
54,47.429048511405384,8.470487081231676
104,47.43177013023738,8.467888635036651
54,47.43266946222356,8.467906019413684
42,47.433556989912255,8.469248814567253
57,47.43716611819764,8.46799295014625
20,47.451543564740234,8.469597085991033
26,47.34090088466058,8.470105163688935
50,47.341788412077925,8.471445683067994
76,47.34087721097036,8.472751373297244
45,47.342699598162895,8.470139948190683
64,47.34359895455196,8.470157341324482
19,47.359775494608336,8.47179409248235
12,47.38314670099562,8.47357153214173
107,47.38584473493846,8.473623927044938
116,47.38945396512462,8.47236948413321
68,47.39306317765812,8.471114871175981
28,47.42633867983441,8.471760032385106
48,47.42902482930505,8.473137674654806
47,47.43801813728938,8.473312423328624
33,47.438917466634784,8.473329901457086
24,47.441627304506376,8.47205672934549
52,47.447922598288606,8.47217894843448
26,47.44970939804095,8.47353968526731
42,47.33277113403595,8.47391737345253
33,47.33275926103429,8.47524027590301
7,47.33274737285845,8.476563177762218
32,47.338143517521814,8.476668176112435
44,47.341764707638795,8.47409193614415
5,47.3426521884928,8.475432543638972
0,47.37861432336614,8.47745634384344
38,47.38493352121892,8.474930660150495
129,47.38670842435242,8.477614121579085
92,47.39211638162612,8.476394957083702
27,47.407417050027725,8.475368035997333
159,47.412801182462886,8.476797952968631
56,47.41370051854483,8.476815481657875
169,47.41368861247461,8.478140395052268
50,47.41639852523628,8.476868071292
29,47.439793048041544,8.475998508879899
78,47.43976923955024,8.47864963520272
102,47.44156789532318,8.478684773683677
155,47.44337846267833,8.477394262053613
19,47.44878632024294,8.476173776929109
37,47.33453418495723,8.477921120745135
33,47.33362290862922,8.479226522581913
43,47.339030969384034,8.478008735410036
15,47.33811969326049,8.479314245876855
54,47.376791790115995,8.480069279410912
47,47.38309913415762,8.47886814436792
35,47.38398654838193,8.480209872110994
104,47.385785235436316,8.4802450262404
111,47.3875958521599,8.47895591937781
95,47.39119322201761,8.479026150093508
240,47.3893826065182,8.480315341646406
323,47.39118129054218,8.480350502923564
